Zone Name,Suburb Name,Suburb Postcode,Arrival day from dispatch,Delivery Fee,Free Delivery for Over $
Sydney Metro,WINSTON HILLS,2153,Tuesday & Friday,$10,$100
Sydney Metro,CASTLE HILL,2154,Tuesday & Friday,$10,$100
Sydney Metro,BEAUMONT HILLS,2155,Tuesday & Friday,$10,$100
Sydney Metro,KELLYVILLE,2155,Tuesday & Friday,$10,$100
Sydney Metro,KELLYVILLE RIDGE,2155,Tuesday & Friday,$10,$100
Sydney Metro,NORTH KELLYVILLE,2155,Tuesday & Friday,$10,$100
Sydney Metro,ROUSE HILL,2155,Tuesday & Friday,$10,$100
Sydney Metro,MERRYLANDS,2160,Tuesday & Friday,$10,$100
Sydney Metro,MERRYLANDS WEST,2160,Tuesday & Friday,$10,$100
Sydney Metro,GUILDFORD,2161,Tuesday & Friday,$10,$100
Sydney Metro,GUILDFORD WEST,2161,Tuesday & Friday,$10,$100
Sydney Metro,OLD GUILDFORD,2161,Tuesday & Friday,$10,$100
Sydney Metro,YENNORA,2161,Tuesday & Friday,$10,$100
Sydney Metro,CHESTER HILL,2162,Tuesday & Friday,$10,$100
Sydney Metro,SEFTON,2162,Tuesday & Friday,$10,$100
Sydney Metro,CARRAMAR,2163,Tuesday & Friday,$10,$100
Sydney Metro,LANSDOWNE,2163,Tuesday & Friday,$10,$100
Sydney Metro,VILLAWOOD,2163,Tuesday & Friday,$10,$100
Sydney Metro,CHULLORA,2190,Tuesday & Friday,$10,$100
Sydney Metro,GREENACRE,2190,Tuesday & Friday,$10,$100
Sydney Metro,MOUNT LEWIS,2190,Tuesday & Friday,$10,$100
Sydney Metro,BELFIELD,2191,Tuesday & Friday,$10,$100
Sydney Metro,BELMORE,2192,Tuesday & Friday,$10,$100
Sydney Metro,ASHBURY,2193,Tuesday & Friday,$10,$100
Sydney Metro,CANTERBURY,2193,Tuesday & Friday,$10,$100
Sydney Metro,HURLSTONE PARK,2193,Tuesday & Friday,$10,$100
Sydney Metro,CAMPSIE,2194,Tuesday & Friday,$10,$100
Sydney Metro,LAKEMBA,2195,Tuesday & Friday,$10,$100
Sydney Metro,WILEY PARK,2195,Tuesday & Friday,$10,$100
Sydney Metro,PUNCHBOWL,2196,Tuesday & Friday,$10,$100
Sydney Metro,ROSELANDS,2196,Tuesday & Friday,$10,$100
Sydney Metro,BASS HILL,2197,Tuesday & Friday,$10,$100
Sydney Metro,GEORGES HALL,2198,Tuesday & Friday,$10,$100
Sydney Metro,YAGOONA,2199,Tuesday & Friday,$10,$100
Sydney Metro,YAGOONA WEST,2199,Tuesday & Friday,$10,$100
Sydney Metro,BANKSTOWN,2200,Tuesday & Friday,$10,$100
Sydney Metro,BANKSTOWN AERODROME,2200,Tuesday & Friday,$10,$100
Sydney Metro,BANKSTOWN NORTH,2200,Tuesday & Friday,$10,$100
Sydney Metro,BANKSTOWN SQUARE,2200,Tuesday & Friday,$10,$100
Sydney Metro,CONDELL PARK,2200,Tuesday & Friday,$10,$100
Sydney Metro,MANAHAN,2200,Tuesday & Friday,$10,$100
Sydney Metro,MOUNT LEWIS,2200,Tuesday & Friday,$10,$100
Sydney Metro,DULWICH HILL,2203,Tuesday & Friday,$10,$100
Sydney Metro,MARRICKVILLE,2204,Tuesday & Friday,$10,$100
Sydney Metro,MARRICKVILLE METRO,2204,Tuesday & Friday,$10,$100
Sydney Metro,MARRICKVILLE SOUTH,2204,Tuesday & Friday,$10,$100
Sydney Metro,ARNCLIFFE,2205,Tuesday & Friday,$10,$100
Sydney Metro,TURRELLA,2205,Tuesday & Friday,$10,$100
Sydney Metro,WOLLI CREEK,2205,Tuesday & Friday,$10,$100
Sydney Metro,CLEMTON PARK,2206,Tuesday & Friday,$10,$100
Sydney Metro,EARLWOOD,2206,Tuesday & Friday,$10,$100
Sydney Metro,BARDWELL PARK,2207,Tuesday & Friday,$10,$100
Sydney Metro,BARDWELL VALLEY,2207,Tuesday & Friday,$10,$100
Sydney Metro,BEXLEY,2207,Tuesday & Friday,$10,$100
Sydney Metro,BEXLEY NORTH,2207,Tuesday & Friday,$10,$100
Sydney Metro,BEXLEY SOUTH,2207,Tuesday & Friday,$10,$100
Sydney Metro,KINGSGROVE,2208,Tuesday & Friday,$10,$100
Sydney Metro,KINGSWAY WEST,2208,Tuesday & Friday,$10,$100
Sydney Metro,BEVERLY HILLS,2209,Tuesday & Friday,$10,$100
Sydney Metro,NARWEE,2209,Tuesday & Friday,$10,$100
Sydney Metro,LUGARNO,2210,Tuesday & Friday,$10,$100
Sydney Metro,PEAKHURST,2210,Tuesday & Friday,$10,$100
Sydney Metro,PEAKHURST HEIGHTS,2210,Tuesday & Friday,$10,$100
Sydney Metro,RIVERWOOD,2210,Tuesday & Friday,$10,$100
Sydney Metro,PADSTOW,2211,Tuesday & Friday,$10,$100
Sydney Metro,PADSTOW HEIGHTS,2211,Tuesday & Friday,$10,$100
Sydney Metro,REVESBY,2212,Tuesday & Friday,$10,$100
Sydney Metro,REVESBY HEIGHTS,2212,Tuesday & Friday,$10,$100
Sydney Metro,REVESBY NORTH,2212,Tuesday & Friday,$10,$100
Sydney Metro,EAST HILLS,2213,Tuesday & Friday,$10,$100
Sydney Metro,PANANIA,2213,Tuesday & Friday,$10,$100
Sydney Metro,PICNIC POINT,2213,Tuesday & Friday,$10,$100
Sydney Metro,MILPERRA,2214,Tuesday & Friday,$10,$100
